,Country,Distance,Food Type,Monument,Price,Rank of Distance,Rating,Review Count
283,US,1840.4862932362664,Mexican,Empire State Building,1,48,4.5,2111
284,US,430.51008515011534,Cuban,Empire State Building,2,19,4.0,1090
285,US,253.54852798648668,Korean,Empire State Building,2,12,4.0,789
286,US,180.54938087881803,Wine Bars,Empire State Building,2,8,4.0,1274
287,US,1195.3230964522875,American (New),Empire State Building,3,39,4.0,2635
288,US,286.64486402890964,Bars,Empire State Building,2,14,4.0,1243
289,US,1250.3579347468037,Steakhouses,Empire State Building,4,40,4.5,2378
290,US,654.2659191209924,Bars,Empire State Building,2,25,4.0,1197
291,US,1037.207580542125,Donuts,Empire State Building,2,35,4.0,2248
292,US,833.1275963616063,Japanese Curry,Empire State Building,1,30,4.0,1281
293,US,1321.2148914856925,Landmarks & Historical Buildings,Empire State Building,n/a,41,4.5,1448
294,US,1066.7094842901156,Japanese,Empire State Building,4,36,4.0,1920
295,US,1774.613573348069,Ramen,Empire State Building,2,47,4.0,4750
296,US,417.2455499776257,Coffee & Tea,Empire State Building,2,17,4.0,801
297,US,709.888610256296,Ramen,Empire State Building,2,26,4.0,1142
298,US,1751.720814251441,Chinese,Empire State Building,3,46,4.0,3368
299,US,2920.0729923896693,Delis,Empire State Building,2,50,4.0,8708
300,US,35.6743745382325,Landmarks & Historical Buildings,Hollywood Sign,n/a,1,4.0,521
301,US,4392.452459188694,Bakeries,Hollywood Sign,1,50,4.5,7221
302,US,3311.776244655835,Breakfast & Brunch,Hollywood Sign,2,33,4.0,2825
303,US,3565.5692908113106,Mediterranean,Hollywood Sign,3,36,4.0,1664
304,US,1012.1224139358127,Parks,Hollywood Sign,n/a,2,4.5,212
305,US,2563.2211575027754,Hot Dogs,Hollywood Sign,1,11,4.5,663
306,US,2578.59613954316,Cafes,Hollywood Sign,1,12,4.0,533
307,US,1629.6144634915997,Parks,Hollywood Sign,n/a,5,4.5,164
308,US,1228.058013967013,Parks,Hollywood Sign,n/a,3,4.5,176
309,US,3775.9018887735483,Performing Arts,Hollywood Sign,3,42,4.0,2066
310,US,2759.438583032598,Sandwiches,Hollywood Sign,2,17,4.0,498
311,US,2497.8067062240857,Vegan,Hollywood Sign,1,9,4.5,360
312,US,2891.5471290257615,Mexican,Hollywood Sign,2,26,4.5,474
313,US,2549.2769743538224,Bars,Hollywood Sign,2,10,5.0,153
314,US,3676.379817066269,Seafood,Hollywood Sign,2,41,4.0,2334
315,US,2833.3482908505284,Coffee & Tea,Hollywood Sign,1,22,5.0,166
316,US,3391.8468672912823,Hookah Bars,Hollywood Sign,2,35,5.0,308
317,US,4084.9563143735772,Dog Parks,Hollywood Sign,n/a,49,4.0,1625
318,US,3045.3928496241965,American (Traditional),Hollywood Sign,2,28,3.5,1251
319,US,2240.6708985955565,Breakfast & Brunch,Hollywood Sign,2,6,3.5,1010
320,US,3630.4747221382986,Gastropubs,Hollywood Sign,2,39,4.0,790
321,US,3653.912042890055,Japanese,Hollywood Sign,3,40,3.5,2869
322,US,3841.151247774335,Thai,Hollywood Sign,2,45,4.0,1433
323,US,2430.4202785020098,Japanese,Hollywood Sign,2,7,4.5,257
324,US,2624.184057499865,Delis,Hollywood Sign,2,13,4.5,159
325,US,3921.3478286502955,Burgers,Hollywood Sign,2,46,4.0,1792
326,US,3204.0682930697562,American (New),Hollywood Sign,2,32,4.0,853
327,US,2838.0666515099947,Juice Bars & Smoothies,Hollywood Sign,2,23,5.0,137
328,US,2477.0767956025384,Italian,Hollywood Sign,2,8,4.0,500
329,US,3193.758391925713,French,Hollywood Sign,3,29,4.5,353
330,US,2918.5399322419235,Coffee & Tea,Hollywood Sign,1,27,4.0,571
331,US,2799.7825022040583,Cafes,Hollywood Sign,2,20,4.5,147
332,US,2745.126249037886,Coffee & Tea,Hollywood Sign,2,16,3.5,647
333,US,2744.6312163400644,American (New),Hollywood Sign,2,15,4.0,470
334,US,3818.54180278989,Music Venues,Hollywood Sign,2,44,4.5,552
335,US,3943.2474675560147,Thai,Hollywood Sign,1,47,4.5,780
336,US,3338.100471296574,Bars,Hollywood Sign,2,34,4.5,393
337,US,2788.2919628722184,Mexican,Hollywood Sign,2,18,3.5,678
338,US,3599.5250121565255,Japanese,Hollywood Sign,4,38,4.5,350
339,US,3812.426117267007,Steakhouses,Hollywood Sign,3,43,4.0,1184
340,US,2823.9407263437843,Salad,Hollywood Sign,2,21,4.5,169
341,US,2794.390404509061,Mediterranean,Hollywood Sign,2,19,4.0,290
342,US,3596.07104569635,Thai,Hollywood Sign,1,37,4.0,448
343,US,2737.636353447626,Italian,Hollywood Sign,2,14,4.0,400
344,US,3197.467463706314,Coffee & Tea,Hollywood Sign,1,30,4.0,760
345,US,1577.274339152392,American (New),Hollywood Sign,2,4,3.5,368
346,US,2846.3272725046872,Cafes,Hollywood Sign,2,24,4.0,272
347,US,2868.261005724705,Thai,Hollywood Sign,2,25,4.0,468
348,US,3202.1714147235684,Diners,Hollywood Sign,2,31,3.5,1039
349,US,4084.3799251848213,Burgers,Hollywood Sign,2,48,3.5,1736
350,US,370.79464385898024,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,1,4.5,1628
351,US,1075.0195656397964,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,3,5.0,341
352,US,2019.141898419879,Parks,Golden Gate Bridge,n/a,11,5.0,343
353,US,4347.928882226526,French,Golden Gate Bridge,3,48,4.5,2500
354,US,2968.5821146984777,Parks,Golden Gate Bridge,n/a,14,4.5,645
355,US,4298.03791467395,Desserts,Golden Gate Bridge,1,45,4.0,2094
356,US,4045.27122443358,Burmese,Golden Gate Bridge,2,29,4.0,1895
357,US,4234.744058068486,American (Traditional),Golden Gate Bridge,4,41,4.0,1726
358,US,932.4788702148415,Parks,Golden Gate Bridge,n/a,2,4.5,91
359,US,4051.4803889579753,Pizza,Golden Gate Bridge,2,30,4.5,1130
360,US,1178.2016909065003,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,5,4.5,128
361,US,4451.112503938343,Parks,Golden Gate Bridge,n/a,50,5.0,362
362,US,3132.366302817919,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,16,4.5,213
363,US,4208.86634766655,Dim Sum,Golden Gate Bridge,1,37,4.0,1391
364,US,1987.9814353008605,American (New),Golden Gate Bridge,3,10,3.5,594
365,US,4233.73575819415,Japanese,Golden Gate Bridge,2,40,4.0,932
366,US,3951.0666805580163,American (New),Golden Gate Bridge,2,25,4.0,709
